profession,metro,y,x,freq
RT,nonmetro,.0012912957695331,17.12986966633337,1.0007542
RT,nonmetro,.0024611644461508,18.37378312838723,1.9074024
RT,nonmetro,.0039083590549289,19.61769659044109,3.0289783
RT,nonmetro,.0056261415762289,20.86161005249495,4.3602595
RT,nonmetro,.0075593392825211,22.10552351454881,5.8584881
RT,nonmetro,.0098534777306656,23.34943697660268,7.636445
RT,nonmetro,.0122476686656479,24.59335043865654,9.4919434
RT,nonmetro,.0143804495995912,25.8372639007104,11.144849
RT,nonmetro,.0162538163270327,27.08117736276426,12.596707
RT,nonmetro,.0179423510884947,28.32509082481812,13.905322
RT,nonmetro,.0196193476469817,29.56900428687198,15.204994
RT,nonmetro,.0209439564755189,30.81291774892585,16.231565
RT,nonmetro,.0223683272918288,32.05683121097971,17.335453
RT,nonmetro,.0234578826678267,33.30074467303356,18.179859
RT,nonmetro,.0243315678218353,34.54465813508743,18.856964
RT,nonmetro,.0252507113649014,35.78857159714129,19.569302
RT,nonmetro,.0260593599517594,37.03248505919515,20.196005
RT,nonmetro,.0266174075679555,38.27639852124901,20.62849
RT,nonmetro,.0266860001392256,39.52031198330288,20.68165
RT,nonmetro,.0267894654969517,40.76422544535674,20.761835
RT,nonmetro,.0269482816581515,42.0081389074106,20.884918
RT,nonmetro,.027160306838492,43.25205236946447,21.049238
RT,nonmetro,.0280870293904735,44.49596583151832,21.767448
RT,nonmetro,.0286977877816369,45.73987929357219,22.240786
RT,nonmetro,.0292082255419167,46.98379275562604,22.636375
RT,nonmetro,.0294327663773192,48.22770621767991,22.810394
RT,nonmetro,.0294661836364654,49.47161967973376,22.836292
RT,nonmetro,.0289957503205877,50.71553314178763,22.471706
RT,nonmetro,.0274869479339324,51.9594466038415,21.302385
RT,nonmetro,.0255347435371333,53.20336006589535,19.789427
RT,nonmetro,.0235708377009001,54.44727352794922,18.267399
RT,nonmetro,.0218714378606445,55.69118699000308,16.950365
RT,nonmetro,.0207967879443775,56.93510045205694,16.11751
RT,nonmetro,.0197035101543144,58.1790139141108,15.270221
RT,nonmetro,.0185789317945325,59.42292737616467,14.398672
RT,nonmetro,.0171485702011303,60.66684083821852,13.290142
RT,nonmetro,.0155067487779364,61.91075430027239,12.017731
RT,nonmetro,.0135499476737837,63.15466776232624,10.501209
RT,nonmetro,.0113470428030052,64.39858122438011,8.7939577
RT,nonmetro,.00887791795926,65.64249468643398,6.8803864
RT,nonmetro,.0064353690362959,66.88640814848783,4.987411
RT,nonmetro,.0042978996791664,68.1303216105417,3.3308723
RT,nonmetro,.0027066883579785,69.37423507259555,2.0976834
RT,nonmetro,.0016955703809436,70.61814853464942,1.314067
RT,nonmetro,.0010856819887595,71.86206199670328,.84140354
RT,nonmetro,.0007382750103673,73.10597545875714,.57216311
RT,nonmetro,.0004211782286697,74.349888920811,.32641312
RT,nonmetro,.0001728361406602,75.59380238286487,.13394801
RT,nonmetro,.0001473077279094,76.83771584491872,.11416349
RT,nonmetro,.0001254176033495,78.08162930697259,.097198643
RT,metro,.0004826657884151,17.67056036413413,1.6526476
RT,metro,.0011674131716969,18.88754373610468,3.9972227
RT,metro,.0025590070518867,20.10452710807524,8.7620401
RT,metro,.0045083735598139,21.32151048004579,15.436671
RT,metro,.0070307419994725,22.53849385201634,24.073261
RT,metro,.0099748818077345,23.7554772239869,34.153996
RT,metro,.0127614752470915,24.97246059595746,43.69529
RT,metro,.0152512836384873,26.18944396792801,52.220394
RT,metro,.0174638498919862,27.40642733989857,59.796223
RT,metro,.0196940109793835,28.62341071186912,67.432297
RT,metro,.0218833647941899,29.84039408383968,74.928642
RT,metro,.0237460007175668,31.05737745581023,81.306305
RT,metro,.0254278676653996,32.27436082778079,87.065018
RT,metro,.0269372791267544,33.49134419975134,92.233246
RT,metro,.0275465962861331,34.7083275717219,94.319542
RT,metro,.0271013946791218,35.92531094369245,92.795174
RT,metro,.0265330136247255,37.14229431566301,90.849037
RT,metro,.0258155304454403,38.35927768763357,88.39238
RT,metro,.0254631363087829,39.57626105960412,87.185776
RT,metro,.0252679623359956,40.79324443157468,86.517502
RT,metro,.0258891379771912,42.01022780354523,88.644409
RT,metro,.027141396999954,43.22721117551578,92.932144
RT,metro,.0284376900495365,44.44419454748634,97.370651
RT,metro,.0295126808122278,45.66117791945689,101.05142
RT,metro,.0298216253234979,46.87816129142745,102.10925
RT,metro,.0295816653488769,48.095144663398,101.28762
RT,metro,.0286991936078449,49.31212803536856,98.266037
RT,metro,.0276651073504936,50.52911140733912,94.725327
RT,metro,.0263576484010051,51.74609477930967,90.248589
RT,metro,.0253704913905638,52.96307815128023,86.868561
RT,metro,.0244082589124521,54.18006152325078,83.573875
RT,metro,.023425501000092,55.39704489522134,80.208916
RT,metro,.0224151480212662,56.61402826719189,76.749466
RT,metro,.0212585651327361,57.83101163916245,72.78933
RT,metro,.0200213813368146,59.047995011133,68.553207
RT,metro,.0185633525044266,60.26497838310355,63.560921
RT,metro,.0166788037413929,61.48196175507411,57.108223
RT,metro,.0141321554612677,62.69894512704467,48.3885
RT,metro,.0112849129804133,63.91592849901522,38.639542
RT,metro,.0083314763778699,65.13291187098578,28.526976
RT,metro,.0057707791271094,66.34989524295634,19.759148
RT,metro,.0036760847769342,67.56687861492688,12.586914
RT,metro,.0022791268454657,68.78386198689745,7.8037305
RT,metro,.0014987615991815,70.00084535886799,5.1317596
RT,metro,.0009861423983443,71.21782873083856,3.3765516
RT,metro,.0006913353484243,72.4348121028091,2.3671322
RT,metro,.0004768415210287,73.65179547477966,1.6327053
